﻿FROM_ID,TO_ID,DURATION_H,DIST_KM
0,0,0,0
0,4,1.059075,54.55784
0,5,0.766552778,29.26017
0,8,1.605930556,99.49319
0,9,0.845552778,32.83569
0,10,1.754766667,93.48195
0,11,1.51255,83.63323
0,12,2.171880556,111.58063
0,13,1.044847222,34.18738
0,14,1.589716667,89.86138
0,15,1.446636111,55.48512
0,16,0.685516667,25.63427
0,18,0.395733333,11.87204
0,22,1.324097222,72.75842
0,23,1.078836111,47.35415
0,25,1.663005556,57.74983
0,26,0.727697222,28.44242
0,27,1.583366667,99.67945
0,28,1.847016667,104.01301
0,29,1.292038889,48.09498
0,30,1.653858333,94.05751
0,33,0.171525,7.24997
0,34,1.510244444,89.78308
0,36,2.228438889,122.73802
0,37,2.505119444,131.03853
0,38,1.701630556,91.00595
0,40,1.416452778,80.47756
0,41,2.369269444,117.5023
0,43,0.955475,25.94559
0,44,2.119580556,103.54654
0,48,0.699116667,26.10217
0,49,0.618322222,21.39162
0,50,1.423113889,59.92991
0,52,1.215616667,45.031
0,54,0.338608333,10.27871
0,55,1.8935,100.86913
0,56,0.704638889,24.65512
0,58,1.814286111,102.4523
0,60,1.374038889,63.44766
0,61,2.256927778,108.54677
0,63,1.042613889,37.87729
0,64,1.31895,47.42809
0,65,1.484327778,91.26116
0,66,1.593669444,82.51651
0,70,1.430061111,75.08227
0,71,1.319497222,43.47097
0,74,1.698219444,105.59275
0,76,1.436233333,83.54434
0,77,0.893366667,39.64377
0,78,1.065261111,35.38223
0,79,1.151811111,62.90454
0,82,1.401202778,77.52732
0,83,1.246497222,50.26711
0,84,1.5808,87.92112
0,85,1.663244444,95.11615
0,86,1.731702778,98.37523
0,87,0.920788889,27.39235
0,89,1.422361111,65.45482
0,100,1.034436111,52.34031
4,0,1.059075,54.55784
4,4,0,0
4,5,0.670219444,51.84148
4,8,0.546858333,44.93546
4,9,0.690291667,52.2278
4,10,0.695694444,38.92423
4,11,0.453477778,29.07551
4,12,1.112805556,57.0229
4,13,0.74125,51.60736
4,14,0.530644444,35.30365
4,15,0.979913889,49.4728
4,16,0.625258333,51.27444
4,18,1.106036111,52.06653
4,22,0.265022222,18.2007
4,23,0.402875,27.27738
4,25,1.044808333,52.67054
4,26,0.512575,31.55134
4,27,0.524291667,45.12171
4,28,0.787944444,49.45528
4,29,0.594741667,37.69417
4,30,0.594786111,39.49978
4,33,0.973905556,58.76931
4,34,0.451169444,35.22535
4,36,1.169363889,68.1803
4,37,1.446047222,76.4808
4,38,0.642555556,36.44821
4,40,0.357380556,25.91983
4,41,1.310197222,62.94457
4,43,0.574094444,28.43097
4,44,1.060508333,48.98881
4,48,0.442844444,39.85721
4,49,0.861441667,42.01736
4,50,0.368683333,21.86345
4,52,0.716280556,39.34827
4,54,0.775508333,40.08991
4,55,0.834427778,46.31141
4,56,0.587866667,45.87235
4,58,0.755211111,47.89457
4,60,0.595336111,34.12401
4,61,1.197852778,53.98904
4,63,0.560813889,28.99968
4,64,0.700752778,42.34879
4,65,0.425255556,36.70343
4,66,0.534597222,27.95878
4,70,0.370988889,20.52454
4,71,0.894305556,51.90232
4,74,0.639147222,51.03502
4,76,0.377161111,28.98661
4,77,0.165708333,14.9141
4,78,0.668813889,45.8258
4,79,0.092738889,8.34681
4,82,0.342130556,22.96959
4,83,0.372286111,27.48225
4,84,0.521727778,33.36339
4,85,0.604172222,40.55842
4,86,0.672627778,43.8175
4,87,0.872327778,59.85632
4,89,0.363341667,10.90201
4,100,0.024636111,2.21754
5,0,0.766552778,29.26017
5,4,0.671294444,51.85635
5,5,0,0
5,8,1.218152778,96.7917
5,9,0.361238889,18.31629
5,10,1.366988889,90.78046
5,11,1.124769444,80.93174
5,12,1.7841,108.87913
5,13,1.408633333,66.40692
5,14,1.201938889,87.15988
5,15,0.962322222,40.96571
5,16,0.247302778,14.54297
5,18,1.100969444,39.29273
5,22,0.936316667,70.05693
5,23,0.681061111,43.82891
5,25,1.716102778,104.52677
5,26,0.788158333,47.79266
5,27,1.195586111,96.97795
5,28,1.459236111,101.31151
5,29,1.266036111,89.55041
5,30,1.266077778,91.35601
5,33,0.595947222,22.03784
5,34,1.122463889,87.08159
5,36,1.840658333,120.03653
5,37,2.117341667,128.33704
5,38,1.31385,88.30445
5,40,1.028672222,77.77607
5,41,1.981488889,114.8008
5,43,0.849677778,44.6723
5,44,1.731802778,100.84505
5,48,0.22845,11.99932
5,49,1.137025,58.25868
5,50,1.039977778,73.71968
5,52,0.731302778,30.51159
5,54,0.977441667,35.70731
5,55,1.505722222,98.16764
5,56,0.199002778,8.85634
5,58,1.426505556,99.7508
5,60,0.986258333,60.74616
5,61,1.869147222,105.84527
5,63,0.8364,45.241
5,64,1.372047222,94.20503
5,65,1.09655,88.55967
5,66,1.205891667,79.81501
5,70,1.042280556,72.38077
5,71,1.5656,103.75855
5,74,1.310441667,102.89126
5,76,1.048455556,80.84284
5,77,0.505588889,36.94228
5,78,1.300441667,59.1623
5,79,0.764030556,60.20305
5,82,1.013425,74.82582
5,83,1.043580556,79.33849
5,84,1.193022222,85.21963
5,85,1.275466667,92.41466
5,86,1.343922222,95.67374
5,87,1.501736111,69.00834
5,89,1.034580556,62.75332
5,100,0.646658333,49.63882
8,0,1.594669444,99.39855
8,4,0.535597222,44.84082
8,5,1.205816667,96.68219
8,8,0,0
8,9,1.225886111,97.0685
8,10,0.910669444,50.38348
8,11,0.617786111,41.15106
8,12,1.367911111,77.13705
8,13,0.937791667,67.3996
8,14,0.571447222,24.30698
8,15,1.515508333,94.3135
8,16,1.160855556,96.11514
8,18,1.536694444,91.64011
8,22,0.423466667,29.34277
8,23,0.938469444,72.11809
8,25,1.241352778,68.46278
8,26,1.048169444,76.39205
8,27,0.779397222,65.23587
8,28,0.47335,15.33079
8,29,0.791283333,53.48641
8,30,0.849888889,59.61393
8,33,1.5095,103.61001
8,34,0.163047222,9.92457
8,36,1.424469444,88.29445
8,37,1.701152778,96.59496
8,38,0.772938889,45.95991
8,40,0.24005,18.69888
8,41,1.5653,83.05873
8,43,1.109688889,73.27168
8,44,1.190891667,58.5005
8,48,0.978438889,84.69791
8,49,1.197008333,72.15007
8,50,0.532994444,33.939
8,52,1.251875,84.18898
8,54,1.311105556,84.93062
8,55,0.806375,32.14848
8,56,1.123461111,90.71305
8,58,0.485261111,32.98805
8,60,1.088261111,58.19275
8,61,1.342608333,62.4439
8,63,1.096408333,73.84038
8,64,0.897294444,58.14104
8,65,0.680358333,56.81759
8,66,0.664980556,37.47046
8,70,0.626091667,40.63869
8,71,1.090847222,67.69456
8,74,0.894252778,71.14918
8,76,0.632266667,49.10077
8,77,0.701302778,59.7548
8,78,0.865355556,61.61804
8,79,0.442863889,36.49451
8,82,0.472513889,32.48128
8,83,0.568827778,43.2745
8,84,0.515283333,19.8099
8,85,0.859277778,60.67257
8,86,0.927733333,63.93166
8,87,1.068869444,75.64857
8,89,0.717436111,47.06784
8,100,0.560233333,47.05824
9,0,0.845552778,32.83569
9,4,0.693647222,52.80128
9,5,0.361238889,18.31629
9,8,1.240502778,97.73663
9,9,0,0
9,10,1.389338889,91.72539
9,11,1.147122222,81.87667
9,12,1.806452778,109.82406
9,13,1.430983333,67.35185
9,14,1.224288889,88.10481
9,15,0.601122222,22.65141
9,16,0.326305556,18.11849
9,18,1.179972222,42.86825
9,22,0.958666667,71.00186
9,23,0.517972222,25.89877
9,25,1.738455556,105.4717
9,26,0.810508333,48.73759
9,27,1.217936111,97.92288
9,28,1.481588889,102.25644
9,29,1.288386111,90.49534
9,30,1.288430556,92.30094
9,33,0.67495,25.61336
9,34,1.144813889,88.02652
9,36,1.863008333,120.98146
9,37,2.139691667,129.28197
9,38,1.3362,89.24938
9,40,1.051025,78.721
9,41,2.003841667,115.74573
9,43,0.872027778,45.61723
9,44,1.754152778,101.78998
9,48,0.250802778,12.94425
9,49,1.159375,59.20361
9,50,1.062327778,74.66461
9,52,0.370102778,12.19728
9,54,1.056444444,39.28283
9,55,1.528072222,99.11257
9,56,0.270666667,12.02988
9,58,1.448858333,100.69573
9,60,0.779083333,37.56655
9,61,1.891497222,106.7902
9,63,0.85875,46.18593
9,64,1.394397222,95.14996
9,65,1.1189,89.5046
9,66,1.228241667,80.75994
9,70,1.064633333,73.3257
9,71,1.58795,104.70348
9,74,1.332791667,103.83619
9,76,1.070805556,81.78777
9,77,0.527938889,37.88721
9,78,1.322791667,60.10723
9,79,0.786383333,61.14798
9,82,1.035775,75.77075
9,83,1.065930556,80.28342
9,84,1.215372222,86.16455
9,85,1.297816667,93.35959
9,86,1.366272222,96.61867
9,87,1.524088889,69.95327
9,89,1.056933333,63.69825
9,100,0.669008333,50.58375
10,0,1.748413889,92.94177
10,4,0.689341667,38.38405
10,5,1.359561111,90.22542
10,8,0.928058333,50.77168
10,9,1.379630556,90.61173
10,10,0,0
10,11,0.854725,35.15836
10,12,1.172252778,40.75293
10,13,1.147705556,57.91205
10,14,0.741858333,32.6402
10,15,1.669252778,87.85673
10,16,1.3146,89.65837
10,18,1.746608333,82.15255
10,22,0.666272222,24.28354
10,23,1.092213889,65.66132
10,25,1.451266667,58.97522
10,26,1.201913889,69.93527
10,27,0.583738889,28.85174
10,28,0.999158333,46.79183
10,29,1.0012,43.99886
10,30,0.654230556,23.22981
10,33,1.663244444,97.15324
10,34,0.832372222,41.06157
10,36,1.228808333,51.91032
10,37,1.505491667,60.21084
10,38,0.350977778,11.42517
10,40,0.738580556,31.75606
10,41,1.369641667,46.6746
10,43,1.263433333,66.81491
10,44,0.768930556,23.96577
10,48,1.132183333,78.24115
10,49,1.406925,62.66252
10,50,0.769933333,27.94629
10,52,1.405619444,77.7322
10,54,1.46485,78.47384
10,55,1.045641667,43.64796
10,56,1.277205556,84.25628
10,58,1.156461111,53.97742
10,60,1.073313889,37.1692
10,61,0.502169444,15.06511
10,63,1.250155556,67.38361
10,64,1.107211111,48.65348
10,65,0.4847,20.43346
10,66,0.454516667,12.30684
10,70,0.658663889,24.33531
10,71,1.300763889,58.207
10,74,0.698591667,34.76505
10,76,0.382666667,10.89772
10,77,0.855047222,53.29803
10,78,1.075272222,52.13049
10,79,0.596608333,30.03774
10,82,0.599097222,21.83386
10,83,0.778744444,33.78694
10,84,0.922977778,39.44623
10,85,0.356744444,10.70233
10,86,0.732075,27.54754
10,87,1.278786111,66.16102
10,89,0.702486111,26.04429
10,100,0.713977778,40.60147
11,0,1.513133333,83.67311
11,4,0.454058333,29.11538
11,5,1.124280556,80.95675
11,8,0.6312,26.24496
11,9,1.14435,81.34306
11,10,0.854725,35.15836
11,11,0,0
11,12,1.295533333,62.92399
11,13,0.689388889,41.33982
11,14,0.645986111,35.40231
11,15,1.433972222,78.58807
11,16,1.079316667,80.3897
11,18,1.288291667,65.58033
11,22,0.237652778,11.7652
11,23,0.856933333,56.39265
11,25,0.99295,42.403
11,26,0.966633333,60.66661
11,27,0.707016667,51.0228
11,28,0.903286111,49.55393
11,29,0.542883333,27.42663
11,30,0.777511111,45.40087
11,33,1.427963889,87.88457
11,34,0.539488889,31.82916
11,36,1.352088889,74.08138
11,37,1.628772222,82.3819
11,38,0.757897222,36.54687
11,40,0.445697222,22.52364
11,41,1.492922222,68.84566
11,43,1.028152778,57.54624
11,44,1.17585,49.08747
11,48,0.896902778,68.97248
11,49,0.948608333,46.09029
11,50,0.239772222,10.43075
11,52,1.170338889,68.46354
11,54,1.229569444,69.20518
11,55,0.949769444,46.41006
11,56,1.041925,74.98762
11,58,0.399302778,21.74609
11,60,1.015883333,43.97968
11,61,1.327569444,53.03086
11,63,0.977625,45.21697
11,64,0.648894444,32.08126
11,65,0.607980556,42.60453
11,66,0.649938889,28.05743
11,70,0.553713889,26.42563
11,71,0.842444444,41.63478
11,74,0.821872222,56.93611
11,76,0.559886111,34.8877
11,77,0.619766667,44.02936
11,78,0.616955556,35.55827
11,79,0.361327778,20.76908
11,82,0.457472222,23.06825
11,83,0.320427778,17.21472
11,84,0.165819444,7.2149
11,85,0.786897222,46.45951
11,86,0.855355556,49.7186
11,87,0.820469444,49.58879
11,89,0.645055556,32.85478
11,100,0.478697222,31.3328
12,0,2.165527778,111.04045
12,4,1.106452778,56.48272
12,5,1.776672222,108.32409
12,8,1.3853,77.52527
12,9,1.796744444,108.71041
12,10,1.172252778,40.75293
12,11,1.295533333,62.92399
12,12,0,0
12,13,1.583305556,85.45584
12,14,1.346811111,63.78131
12,15,1.9735,67.92522
12,16,1.731711111,107.75705
12,18,2.182208333,109.69635
12,22,1.107077778,52.04918
12,23,1.509327778,83.75999
12,25,1.886863889,86.51902
12,26,1.619025,88.03395
12,27,0.670461111,23.8216
12,28,1.604111111,77.93294
12,29,1.436797222,71.54266
12,30,0.613852778,18.24462
12,33,2.080358333,115.25191
12,34,1.289613889,67.81516
12,36,0.416816667,12.50451
12,37,0.442233333,12.47476
12,38,1.376291667,47.76993
12,40,1.195822222,58.50964
12,41,0.526066667,15.78212
12,43,1.680544444,84.91359
12,44,1.794244444,60.31053
12,48,1.549297222,96.33982
12,49,1.842522222,90.20631
12,50,1.210738889,55.71193
12,52,1.709866667,57.80069
12,54,1.881961111,96.57252
12,55,1.650594444,74.78907
12,56,1.694316667,102.35496
12,58,1.597269444,81.74305
12,60,1.135288889,34.05882
12,61,1.424558333,42.65598
12,63,1.667266667,85.48229
12,64,1.542808333,76.19728
12,65,0.698719444,21.26886
12,66,1.350763889,56.43644
12,70,1.075775,42.43398
12,71,1.736361111,85.7508
12,74,0.663416667,19.66889
12,76,0.853719444,30.81532
12,77,1.272158333,71.39671
12,78,1.510869444,79.67429
12,79,1.013722222,48.13642
12,82,1.179780556,52.95808
12,83,1.214341667,61.33074
12,84,1.363783333,67.21188
12,85,0.921463889,28.84942
12,86,0.447819444,13.43462
12,87,1.714383333,93.70481
12,89,1.008872222,30.26625
12,100,1.131088889,58.70015
13,0,1.044847222,34.18738
13,4,0.741830556,51.64723
13,5,1.407558333,66.39205
13,8,0.955180556,67.78781
13,9,1.427630556,66.77837
13,10,1.147705556,57.91205
13,11,0.689388889,41.33982
13,12,1.583305556,85.45584
13,13,0,0
13,14,0.938966667,58.156
13,15,1.721741667,101.11992
13,16,1.362597222,65.82501
13,18,0.678647222,26.63288
13,22,0.624630556,40.24982
13,23,1.144705556,78.9245
13,25,0.785475,31.60809
13,26,0.620513889,18.61546
13,27,0.994788889,73.55466
13,28,1.196266667,72.30763
